OBJECTID,Tract_1,CIscore,HazScore,HealthScore,SVscore,CCVscore,Shape__Area,Shape__Length
649,6037603702,8,2,3,2,1,3802287.40625,8056.37989640233
650,6037224420,20,5,5,5,5,524261.53125,3301.19413207592
651,6037224600,16,2,5,5,4,1053895.19140625,4122.97328200958
652,6037224700,15,3,5,3,4,925982.30859375,3980.0069172375
653,6037226410,17,3,5,5,4,409884.54296875,2611.69680692928
654,6037226420,17,3,5,5,4,623118.32421875,3232.35035420415
655,6037226700,18,4,5,5,4,1141569.10546875,4458.39832900589
656,6037227010,18,4,5,5,4,847927.1796875,4353.66196092679
657,6037650102,9,2,5,1,1,1236521.7265625,4933.6073361587
658,6037650200,10,3,5,1,1,3520394.05078125,11058.9928235498
659,6037650602,12,3,3,2,4,1808412.1953125,6841.83865407227
660,6037650502,6,2,2,1,1,1942045.64453125,5740.43653579248
661,6037650501,8,3,3,1,1,1451861.6640625,4999.17508933439
662,6037297202,12,5,1,3,3,834624.26953125,3663.84961701668
663,6037297201,9,1,1,3,4,585333.66015625,3036.07944028096
664,6037296902,10,2,1,3,4,712723.90234375,4393.58376843243
665,6037296901,12,4,1,3,4,894980.23046875,4162.41567237291
666,6037296402,7,3,1,1,2,1516911.0859375,6245.47612448423
667,6037296401,6,1,1,2,2,1428463.6875,5162.10244409518
668,6037294701,17,5,3,5,4,2535169.53515625,7259.27111513193
669,6037294421,14,4,3,4,3,967132.2734375,6038.40662241482
670,6037294302,15,5,4,4,2,1231240.02734375,5373.28700673537
671,6037102105,13,5,5,2,1,717766.39453125,3668.64599306472
672,6037101122,4,1,1,1,1,3891710.94140625,11660.8504287859
673,6037201602,16,5,4,3,4,1555864.48046875,6970.35341842213
674,6037201601,15,5,5,3,2,792364.99609375,4090.25859873427
675,6037195903,17,5,5,3,4,347785.94921875,2483.91822932504
676,6037195902,15,5,5,1,4,505933.5546875,3023.07778551591
677,6037195901,17,5,5,3,4,426760.33984375,3014.19140302418
678,6037195804,17,5,5,3,4,490396.5,2840.81947898397
679,6037195803,15,5,5,2,3,552602.46875,3321.02053834448
680,6037195202,11,4,4,1,2,1280400.9609375,5348.14464576549
681,6037195201,10,2,3,1,4,878832.09375,5070.89396151368
682,6037910404,10,3,1,4,2,3801090.18359375,7666.25850009724
683,6037910602,12,1,1,5,5,2932070.20703125,7883.94112319748
684,6037910706,9,2,1,4,2,31194197.390625,27488.3671695497
685,6037910707,11,3,1,3,4,9888803.11328125,12982.541090583
686,6037269000,9,4,3,1,1,3331758.21484375,10937.8526381248
687,6037269500,6,1,3,1,1,2034606.6875,6532.4025728719
688,6037269300,7,2,3,1,1,3225658.15625,7474.19766455903
689,6037269700,11,5,4,1,1,1317454.09765625,5434.9592055268
690,6037269800,10,4,4,1,1,677870.60546875,4426.5560599257
691,6037270100,14,5,4,2,3,836532.15625,4883.75778725822
692,6037480802,15,4,4,2,5,2512052.08984375,7005.84656053653
693,6037480901,17,5,3,4,5,1393506.953125,4789.43137060008
694,6037531302,19,5,5,5,4,1289193.03515625,5821.81998256184
695,6037481001,15,4,2,4,5,1534194.46484375,5856.29242234063
696,6037481002,13,3,2,4,4,1362191.88671875,5158.01468649625
697,6037481102,15,3,4,4,4,900880.671875,4266.36195511346
698,6037480803,12,4,3,2,3,1595550.7578125,5251.28039603934
699,6037481902,18,5,5,3,5,1299493.23046875,6518.68740903554
700,6037430502,5,1,1,1,2,4319152.5,9210.41942053008
701,6037432300,13,5,1,4,3,2905091.0859375,7431.94646882317
702,6037432500,11,2,1,4,4,4118704.2890625,9421.31632242208
703,6037432602,11,2,3,4,2,1559827.87109375,5433.59679289248
704,6037432700,16,5,3,4,4,2727215.0546875,8311.44829210129
705,6037432801,18,5,3,5,5,1157820.84765625,4931.4079485238
706,6037432902,13,3,4,3,3,1584001.44921875,5437.56370388331
707,6037123510,12,2,2,4,4,1175306.26953125,4518.08327940711
708,6037123602,11,2,2,3,4,1359563.42578125,5238.33006868686
709,6037123700,9,1,2,2,4,1395203.109375,4836.78720636189
710,6037123800,10,3,3,2,2,1893146.765625,6438.30451264387
711,6037123601,9,1,2,3,3,2244907.2578125,6756.73304884156
712,6037124300,13,4,2,3,4,1304731.4296875,4631.86880686708
713,6037124500,8,1,2,1,4,1184167.12109375,5184.34441399757
714,6037127300,16,5,3,4,4,1565540.6875,5561.02822054644
715,6037127400,16,5,3,4,4,3188389.40625,9268.49967155849
716,6037127920,10,2,2,3,3,950563.89453125,3899.89105227735
717,6037127910,14,4,2,4,4,952535.70703125,3903.93137872046
718,6037128210,16,5,2,5,4,805608.1015625,3601.65910943474
719,6037128400,12,5,2,2,3,2524473.25390625,8320.86282131732
720,6037134104,10,4,1,3,2,949686.7421875,3898.09487111365
721,6037131400,11,3,1,3,4,1622923.015625,5283.4119460468
722,6037131800,15,5,2,4,4,1924059.92578125,5867.4187224529
723,6037132300,15,5,2,4,4,1878025.90234375,5819.83372671923
724,6037702802,10,3,4,2,1,880876.5,5674.67539906886
725,6037702502,9,2,4,2,1,2637993.0390625,9550.06048475903
726,6037702700,8,2,4,1,1,1964191.3671875,6488.55973695822
727,6037702803,11,3,3,3,2,1232194,10072.7626862724
728,6037127210,16,5,2,4,5,2255725.54296875,7254.12761622283
729,6037181000,12,4,3,1,4,6059732.8984375,13889.9960221469
730,6037191620,19,4,5,5,5,332596.3359375,2587.06297866963
731,6037191720,19,5,5,4,5,386370.32421875,2558.92549656112
732,6037191420,19,5,5,4,5,332087.39453125,2435.66549872258
733,6037191500,18,4,5,4,5,938018.55078125,3806.00514172414
734,6037191810,19,5,5,4,5,590586.50390625,3399.62598218061
735,6037191410,20,5,5,5,5,455276.6953125,2739.99456819063
736,6037191820,16,4,4,3,5,592181.9453125,3401.55305188578
737,6037191610,17,5,5,3,4,614104.6796875,3467.22706778894
738,6037192300,10,3,4,1,2,1282902.25390625,4599.75925196229
739,6037194200,6,1,3,1,1,3804787.88671875,10726.9911690167
740,6037201120,15,4,3,4,4,1156026.67578125,5093.24298675847
741,6037201504,11,2,3,4,2,539474.22265625,3537.77433932234
742,6037104103,9,2,2,3,2,1384809.7109375,4881.80448864715
743,6037262301,5,1,1,2,1,19094202.8007813,27189.7840707837
744,6037400304,9,1,4,2,2,4596291.53515625,12350.8068084993
745,6037920326,7,1,2,2,2,100383705.5625,57089.9772462242
746,6037108104,5,1,1,1,2,1213110.1875,5439.09456260605
747,6037460800,6,1,1,2,2,9870396.828125,15558.7414657613
748,6037535802,13,1,4,4,4,1159145.734375,4583.710557482
749,6037482521,11,1,5,4,1,2256704.046875,6936.46587537119
750,6037540101,12,3,4,3,2,1835046.9609375,6393.72432607633
751,6037536102,16,4,4,4,4,4445957.31640625,10188.2153328715
752,6037536000,18,4,5,5,4,1904808.53515625,5937.93309571372
753,6037124201,11,3,2,2,4,1424805.9375,4875.67540032912
754,6037535605,20,5,5,5,5,684279.03515625,3319.88669054384
755,6037403305,10,2,5,2,1,2151446.765625,5968.8578114255
756,6037402102,12,3,4,3,2,3351884.93359375,7675.41121107332
757,6037402200,11,2,4,3,2,8255984.9921875,15099.1345370341
758,6037402301,16,4,5,4,3,1957449.09375,6181.710816171
759,6037403721,11,4,1,2,4,2764597.39453125,7580.73576017817
760,6037402702,18,4,5,5,4,2189128.37890625,6775.64792391865
